Stim,Stim_Deriv,Cont,Cont_Deriv
-4.194372e-01,-3.169240e-01,-1.401943e-01,4.126476e-01
-6.923629e-01,-6.298276e-02,3.332700e-01,5.201874e-01
-5.453954e-01,2.228260e-01,9.057347e-01,5.078673e-01
-2.467046e-01,2.562736e-01,1.354568e+00,3.280081e-01
-3.284403e-02,1.612730e-01,1.567321e+00,1.248603e-01
7.584406e-02,7.433637e-02,1.609861e+00,-1.541901e-03
1.158305e-01,2.060454e-02,1.569810e+00,-5.600379e-02
1.170546e-01,-7.342486e-03,1.503426e+00,-6.758292e-02
1.011470e-01,-1.723232e-02,1.440216e+00,-5.849721e-02
8.259162e-02,-1.642769e-02,1.392003e+00,-4.302026e-02
6.829340e-02,-1.154085e-02,1.359746e+00,-2.902938e-02
5.951177e-02,-6.680625e-03,1.339514e+00,-1.932571e-02
5.493407e-02,-3.333066e-03,1.326664e+00,-1.368761e-02
5.284758e-02,-1.467395e-03,1.317708e+00,-1.083748e-02
5.200124e-02,-9.854167e-04,1.310558e+00,-9.970896e-03
5.087872e-02,-5.206671e-02,1.303335e+00,-6.092155e-02
-5.213020e-02,-2.323301e-01,1.194284e+00,-2.419766e-01
-4.137787e-01,-3.176647e-01,8.249489e-01,-4.302383e-01
-6.874543e-01,-6.374501e-02,3.393690e-01,-5.379684e-01
-5.412614e-01,2.220513e-01,-2.454336e-01,-5.258773e-01
-2.433456e-01,2.555276e-01,-7.068402e-01,-3.462380e-01
-3.020225e-02,1.605840e-01,-9.323711e-01,-1.432878e-01
7.782490e-02,7.367142e-02,-9.878808e-01,-1.707241e-02
1.171424e-01,1.991832e-02,-9.609817e-01,3.719199e-02
1.176630e-01,-8.057367e-03,-9.079622e-01,4.852944e-02
1.010291e-01,-1.796157e-02,-8.583874e-01,3.914634e-02
8.174151e-02,-1.715672e-02,-8.241333e-01,2.332233e-02
6.671746e-02,-1.226725e-02,-8.062060e-01,8.933928e-03
5.720888e-02,-7.424872e-03,-8.007285e-01,-1.232848e-03
5.186965e-02,-4.100244e-03,-8.031347e-01,-7.395712e-03
4.901037e-02,-2.209832e-03,-8.099829e-01,-1.081610e-02
4.745198e-02,-1.253429e-03,-8.192300e-01,-1.268169e-02
4.650551e-02,-8.254091e-04,-8.298095e-01,-1.376382e-02
4.580317e-02,-6.607501e-04,-8.412210e-01,-1.448441e-02
4.518602e-02,-6.055305e-04,-8.532419e-01,-1.505474e-02
4.459412e-02,-5.979479e-04,-8.657942e-01,-1.556930e-02
4.399215e-02,-6.042216e-04,-8.788444e-01,-1.606961e-02
4.338771e-02,-5.814473e-04,-8.923975e-01,-1.659343e-02
4.283129e-02,-5.264156e-04,-9.064956e-01,-1.713764e-02
4.233691e-02,-4.722293e-04,-9.211373e-01,-1.766267e-02
4.188887e-02,-4.332141e-04,-9.362857e-01,-1.814825e-02
4.147252e-02,-4.047041e-04,-9.518988e-01,-1.859338e-02
4.108150e-02,-3.795206e-04,-9.679376e-01,-1.899991e-02
4.071553e-02,-3.526477e-04,-9.843641e-01,-1.936796e-02
4.037826e-02,-3.209709e-04,-1.001139e+00,-1.969596e-02
4.007564e-02,-2.828399e-04,-1.018222e+00,-1.998095e-02
3.981463e-02,-6.407071e-04,-1.035567e+00,-1.981625e-02
3.879628e-02,-5.202495e-02,-1.052321e+00,3.143231e-02
-6.423321e-02,-2.323398e-01,-9.671695e-01,2.124774e-01
-4.258805e-01,-3.176248e-01,-6.218315e-01,4.006211e-01
-6.994774e-01,-6.369301e-02,-1.603876e-01,5.080789e-01
-5.532591e-01,2.221236e-01,3.998730e-01,4.957147e-01
-2.552238e-01,2.556725e-01,8.365970e-01,3.159728e-01
-4.190994e-02,1.607863e-01,1.037380e+00,1.129862e-01
6.635148e-02,7.397390e-02,1.068134e+00,-1.320840e-02
1.060397e-01,2.037429e-02,1.016529e+00,-6.741214e-02
1.071016e-01,-7.433039e-03,9.388745e-01,-7.867701e-02
9.117522e-02,-1.717552e-02,8.647382e-01,-6.921541e-02
7.275228e-02,-1.621550e-02,8.060060e-01,-5.329602e-02
5.874604e-02,-1.116488e-02,7.637075e-01,-3.879184e-02
5.042445e-02,-6.132231e-03,7.339830e-01,-2.850057e-02
4.648356e-02,-2.603488e-03,7.122666e-01,-2.219773e-02
4.521948e-02,-5.477734e-04,6.951475e-01,-1.860347e-02
4.539003e-02,5.362103e-04,6.806193e-01,-1.650861e-02
4.629391e-02,1.099349e-03,6.676897e-01,-1.511546e-02
4.759074e-02,1.427043e-03,6.559476e-01,-1.400148e-02
